num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.08534043,28.88297483,0.05136872,0.0,0.42854483,0.0,0,6,56.631756067276
100000,0.08770046,26.91628641,0.0512217,-0.00413499,0.43437077,0.01948089,0,14,17.147956371307373
150000,0.08600877,28.32602913,0.04120696,-0.53655935,0.51536158,0.42166458,0,20,54.29452443122864
200000,0.10973471,8.55441061,0.03712316,-0.36278291,0.58928794,0.46595248,0,25,8.02672266960144
250000,0.09809062,18.25781529,0.034245,-0.36165269,0.59859786,0.07024668,0,29,23.14786696434021
300000,0.10320729,13.99392283,0.03067977,-0.60298459,0.63961248,0.36349225,0,33,39.142797231674194
350000,0.11300398,5.83002023,0.02487536,-1.36052416,0.70834548,0.66214076,0,37,55.29808235168457
400000,0.11570534,3.57888076,0.01919412,-1.94166906,0.76952312,0.6203714,0,42,12.398991584777832
450000,0.1298982,-8.24849921,0.01577668,-1.66468015,0.81652976,0.50340324,0,46,27.581413984298706
500000,0.12914011,-7.61675652,0.01401297,-1.12518025,0.83488657,0.21101369,0,50,44.312527894973755
550000,0.12940015,-7.83345464,0.0133423,-0.51457137,0.8423694,0.09361816,0,55,3.4739441871643066
600000,0.12881111,-7.34259354,0.0127442,-0.52709398,0.84854443,0.08394087,0,59,19.305092096328735
650000,0.13125344,-9.37786904,0.01326993,0.50503423,0.84417525,-0.06449471,1,3,35.735734939575195
700000,0.12895926,-7.46605029,0.01213567,-1.20569381,0.85533176,0.1771645,1,7,52.15145945549011
750000,0.1270796,-5.89966949,0.01131889,-1.00990199,0.86341025,0.13625375,1,12,10.2140953540802
800000,0.12679565,-5.66304404,0.01104646,-0.37749543,0.86634599,0.05259495,1,16,26.70482563972473
850000,0.12711041,-5.92534331,0.01083333,-0.32136319,0.86897915,0.05005848,1,20,42.58562779426575
900000,0.12353951,-2.94959052,0.00924855,-2.76705912,0.88544015,0.32831097,1,25,2.082348585128784
950000,0.1254245,-4.52042022,0.00976546,1.0058754,0.88026222,-0.10847655,1,29,19.352232694625854
1000000,0.12877574,-7.31311962,0.01064696,1.68487394,0.87188232,-0.18648402,1,33,36.64345097541809
1050000,0.12626601,-5.22167685,0.00956303,-2.20064402,0.88303606,0.26053565,1,37,54.804688453674316
1100000,0.12819394,-6.82828306,0.01035341,1.70703536,0.87492442,-0.19837767,1,42,11.505823612213135
1150000,0.12630138,-5.25115076,0.00939995,-2.17340232,0.88493624,0.25596492,1,48,22.44521927833557
1200000,0.12408149,-3.40124577,0.00841543,-2.59958757,0.89548212,0.27835444,1,55,46.36116600036621
1250000,0.12765051,-6.3754229,0.00951993,3.02093447,0.88422136,-0.30999995,2,2,18.73658061027527
1300000,0.12577052,-4.80876404,0.00863565,-2.48563843,0.8936456,0.27031221,2,8,7.888127088546753
1350000,0.12560513,-4.67094107,0.00823393,-1.26219258,0.89819427,0.13452732,2,12,12.198762893676758
1400000,0.12465885,-3.88237492,0.00759426,-2.2236998,0.90544289,0.2210158,2,16,19.25993776321411
1450000,0.12513021,-4.27517503,0.00748262,-0.42203316,0.90690615,0.04601613,2,20,20.877988576889038
1500000,0.12565462,-4.71218601,0.00738648,-0.3814485,0.90823089,0.04305581,2,24,33.15732669830322
1550000,0.12302377,-2.51980899,0.00605223,-6.07580297,0.92357813,0.51103563,2,28,49.59590244293213
1600000,0.12152494,-1.2707825,0.00537725,-3.72455295,0.93121739,0.25945484,2,33,48.08861470222473
1650000,0.12156876,-1.30730049,0.0051815,-1.20508621,0.93376234,0.08869201,2,38,51.02802491188049
1700000,0.12123231,-1.0269276,0.00497108,-1.38872209,0.93615744,0.0858111,2,43,55.86096525192261
1750000,0.12178197,-1.48497813,0.0049088,-0.43493201,0.93727692,0.04122841,2,48,12.590071678161621
1800000,0.12244208,-2.03506511,0.00492597,0.12394704,0.93700304,-0.01037422,2,52,28.94695210456848
1850000,0.12215601,-1.79667864,0.00478166,-1.08520278,0.93873566,0.06742591,2,59,7.37629508972168
1900000,0.12071413,-0.595107,0.00435401,-3.5131858,0.9437959,0.20158835,3,6,6.92070198059082
1950000,0.11909106,0.75744893,0.00447294,1.03746473,0.94197443,-0.07437032,3,13,18.295467853546143
2000000,0.12374616,-3.12179972,0.00510705,5.23647338,0.93521641,-0.28439163,3,18,50.9235577583313
